MARKET_RUN_ID,OPR_DT,OPR_HR,DATA_ITEM,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE,GROUP
DAM,2022-08-17,2,DAM_FORECAST,2022-08-17T08:00:00-00:00,2022-08-17T09:00:00-00:00,2218.18,5
DAM,2022-08-17,5,DAM_FORECAST,2022-08-17T11:00:00-00:00,2022-08-17T12:00:00-00:00,1892.12,5
DAM,2022-08-17,19,DAM_FORECAST,2022-08-18T01:00:00-00:00,2022-08-18T02:00:00-00:00,7049.52,5
DAM,2022-08-17,22,DAM_NET_VIRTUAL,2022-08-18T04:00:00-00:00,2022-08-18T05:00:00-00:00,439.26,6
DAM,2022-08-17,18,DAM_NET_VIRTUAL,2022-08-18T00:00:00-00:00,2022-08-18T01:00:00-00:00,-1609.24,6
DAM,2022-08-17,10,DAM_NET_VIRTUAL,2022-08-17T16:00:00-00:00,2022-08-17T17:00:00-00:00,1711.93,6
DAM,2022-08-17,9,DAM_NET_VIRTUAL,2022-08-17T15:00:00-00:00,2022-08-17T16:00:00-00:00,1526.01,6
DAM,2022-08-17,8,DAM_NET_VIRTUAL,2022-08-17T14:00:00-00:00,2022-08-17T15:00:00-00:00,868.29,6
DAM,2022-08-17,4,DAM_NET_VIRTUAL,2022-08-17T10:00:00-00:00,2022-08-17T11:00:00-00:00,1219.14,6
DAM,2022-08-17,20,DAM_NET_VIRTUAL,2022-08-18T02:00:00-00:00,2022-08-18T03:00:00-00:00,-387.58,6
DAM,2022-08-17,15,DAM_NET_VIRTUAL,2022-08-17T21:00:00-00:00,2022-08-17T22:00:00-00:00,207.48,6
DAM,2022-08-17,13,DAM_NET_VIRTUAL,2022-08-17T19:00:00-00:00,2022-08-17T20:00:00-00:00,1090.27,6
DAM,2022-08-17,1,DAM_NET_VIRTUAL,2022-08-17T07:00:00-00:00,2022-08-17T08:00:00-00:00,527.7,6
DAM,2022-08-17,24,DAM_NET_VIRTUAL,2022-08-18T06:00:00-00:00,2022-08-18T07:00:00-00:00,812.95,6
DAM,2022-08-17,17,DAM_NET_VIRTUAL,2022-08-17T23:00:00-00:00,2022-08-18T00:00:00-00:00,-1329.41,6
DAM,2022-08-17,14,DAM_NET_VIRTUAL,2022-08-17T20:00:00-00:00,2022-08-17T21:00:00-00:00,439.74,6
DAM,2022-08-17,2,DAM_NET_VIRTUAL,2022-08-17T08:00:00-00:00,2022-08-17T09:00:00-00:00,961.13,6
DAM,2022-08-17,7,DAM_NET_VIRTUAL,2022-08-17T13:00:00-00:00,2022-08-17T14:00:00-00:00,1483.71,6
DAM,2022-08-17,21,DAM_NET_VIRTUAL,2022-08-18T03:00:00-00:00,2022-08-18T04:00:00-00:00,-934.29,6
DAM,2022-08-17,19,DAM_NET_VIRTUAL,2022-08-18T01:00:00-00:00,2022-08-18T02:00:00-00:00,-1106.93,6
DAM,2022-08-17,16,DAM_NET_VIRTUAL,2022-08-17T22:00:00-00:00,2022-08-17T23:00:00-00:00,-709.18,6
DAM,2022-08-17,11,DAM_NET_VIRTUAL,2022-08-17T17:00:00-00:00,2022-08-17T18:00:00-00:00,1126.66,6
DAM,2022-08-17,5,DAM_NET_VIRTUAL,2022-08-17T11:00:00-00:00,2022-08-17T12:00:00-00:00,983.62,6
DAM,2022-08-17,12,DAM_NET_VIRTUAL,2022-08-17T18:00:00-00:00,2022-08-17T19:00:00-00:00,1211.26,6
DAM,2022-08-17,3,DAM_NET_VIRTUAL,2022-08-17T09:00:00-00:00,2022-08-17T10:00:00-00:00,1078.56,6
DAM,2022-08-17,6,DAM_NET_VIRTUAL,2022-08-17T12:00:00-00:00,2022-08-17T13:00:00-00:00,518.76,6
DAM,2022-08-17,23,DAM_NET_VIRTUAL,2022-08-18T05:00:00-00:00,2022-08-18T06:00:00-00:00,264.09,6
DAM,2022-08-17,3,DAM_SCHEDULE,2022-08-17T09:00:00-00:00,2022-08-17T10:00:00-00:00,1527.37,7
DAM,2022-08-17,13,DAM_SCHEDULE,2022-08-17T19:00:00-00:00,2022-08-17T20:00:00-00:00,11683.43,7
DAM,2022-08-17,4,DAM_SCHEDULE,2022-08-17T10:00:00-00:00,2022-08-17T11:00:00-00:00,1456.12,7
DAM,2022-08-17,10,DAM_SCHEDULE,2022-08-17T16:00:00-00:00,2022-08-17T17:00:00-00:00,10389.78,7
DAM,2022-08-17,23,DAM_SCHEDULE,2022-08-18T05:00:00-00:00,2022-08-18T06:00:00-00:00,2893.49,7
DAM,2022-08-17,5,DAM_SCHEDULE,2022-08-17T11:00:00-00:00,2022-08-17T12:00:00-00:00,1328.84,7
DAM,2022-08-17,9,DAM_SCHEDULE,2022-08-17T15:00:00-00:00,2022-08-17T16:00:00-00:00,8898.62,7
