,RT_LMP,RT_MCC,RT_MCE,RT_MCL,RT_MGHG,DA_LMP,DA_MCC,DA_MCE,DA_MCL,DA_MGHG,Export,Generation,Import,NP15_Solar_Renewable Forecast RTD,NP15_Wind_Renewable Forecast RTD,SP15_Solar_Renewable Forecast RTD,SP15_Wind_Renewable Forecast RTD,ZP26_Solar_Renewable Forecast RTD,renewables_rtd,HLY-CLDH-NORMAL_USW00023129,HLY-CLDH-NORMAL_USW00023174,HLY-CLDH-NORMAL_USW00023188,HLY-HTDH-NORMAL_USW00023129,HLY-HTDH-NORMAL_USW00023174,HLY-HTDH-NORMAL_USW00023188,HLY-TEMP-NORMAL_USW00023129,HLY-TEMP-NORMAL_USW00023174,HLY-TEMP-NORMAL_USW00023188,DART,friday,weekend,hour,Total_Solar_Forecast_RTD,Total_Wind_Forecast_RTD,Total_Wind_Solar_Forecast_RTD,renew_forecast_error,prev_day_renew_forecast_error,prev_day_Export,prev_day_Generation,prev_day_Import
2022-08-10 04:00:00+00:00,153.29646333333332,12.142155,141.15430583333332,0.0,0.0,149.16,8.88168,143.06815,-2.78983,0.0,3573.103333333333,29656.094166666666,8654.28,0.0,917.12,0.0,1450.05,0.0,2361.5,,1.4,3.3,,0.8,0.2,,65.6,68.1,-4.1364633333333245,0,0,4,0.0,2367.17,2367.17,-5.670000000000073,16.090000000000146,5268.608333333334,30102.905833333334,8881.78
2022-08-10 05:00:00+00:00,139.42541,6.0603725,127.67330833333334,5.69173,0.0,102.73899,0.03984,103.71556,-1.01641,0.0,2031.0233333333333,25847.159166666668,9167.234166666667,0.0,884.3,0.0,1556.22,0.0,2394.45,2.0,1.4,3.2,0.7,0.9,0.2,66.2,65.5,68.0,-36.68642,0,0,5,0.0,2440.52,2440.52,-46.070000000000164,-125.93999999999983,1928.9008333333331,26417.4725,7911.389999999999
2022-08-10 06:00:00+00:00,119.71442333333333,0.0,111.76999833333333,7.944425,0.0,93.64236,0.0,95.14567,-1.5033,0.0,1977.2275,23472.01833333333,8659.7825,0.0,631.06,0.0,1586.14,0.0,2214.03,2.2,1.8,3.3,0.6,0.6,0.2,66.7,66.1,68.1,-26.072063333333332,0,0,6,0.0,2217.2,2217.2,-3.169999999999618,37.299999999999955,1730.2699999999998,23565.632499999996,7713.918333333334
2022-08-10 07:00:00+00:00,86.6870775,0.0,80.45916666666666,6.2279124999999995,0.0,91.28688,0.0,93.09289,-1.806,0.0,1702.8891666666666,21291.161666666667,8890.695,0.0,828.01,0.0,1547.36,0.0,2321.49,3.7,3.1,4.0,0.2,0.3,0.1,68.5,67.8,68.9,4.599802499999996,0,0,7,0.0,2375.37,2375.37,-53.88000000000011,-59.51999999999998,1765.1425,21084.3475,8510.28
2022-08-10 08:00:00+00:00,93.9910625,0.663055,85.98037166666667,7.347635,0.0,84.66315,0.0,86.29411,-1.63096,0.0,1689.5900000000001,19778.624166666665,8725.028333333334,0.0,731.11,0.0,1381.24,0.0,2025.83,6.0,5.1,5.4,0.1,0.1,0.1,70.9,69.9,70.3,-9.327912499999996,0,0,8,0.0,2112.35,2112.35,-86.51999999999998,-22.340000000000146,1618.0491666666667,18972.079166666666,8788.135833333334
2022-08-10 09:00:00+00:00,98.25561083333334,0.0,90.52233833333334,7.733272500000001,0.0,82.8414,0.0,84.45448,-1.61308,0.0,1736.2158333333334,18954.16,8684.33,0.0,735.1,0.0,1164.35,0.0,1786.54,8.7,6.9,7.0,-777.7,-777.7,-777.7,73.7,71.9,71.9,-15.414210833333343,0,0,9,0.0,1899.4499999999998,1899.4499999999998,-112.90999999999985,-42.029999999999745,1656.6308333333334,17605.213333333333,8901.8775
2022-08-10 10:00:00+00:00,95.97315416666667,0.0,88.16926833333333,7.803885,0.0,81.76203,0.0,83.49028,-1.72825,0.0,1760.5883333333334,18098.460000000003,8897.299166666666,0.0,803.47,0.0,897.81,0.0,1414.84,10.8,7.9,8.4,0.0,-777.7,-777.7,75.8,72.9,73.3,-14.211124166666679,0,0,10,0.0,1701.28,1701.28,-286.44000000000005,-87.25,1608.755,17250.203333333335,8839.371666666668
2022-08-10 11:00:00+00:00,111.77284250000001,1.3617666666666668,101.33442166666667,9.076655833333334,0.0,83.67176,0.0,85.28362,-1.61186,0.0,1630.006666666667,18184.0775,8780.139166666666,0.0,574.52,0.0,546.17,0.0,961.92,12.4,8.6,9.5,0.0,-777.7,0.0,77.4,73.6,74.5,-28.101082500000004,0,0,11,0.0,1120.69,1120.69,-158.7700000000001,-80.29000000000019,1568.2124999999999,17433.4525,8716.911666666667
2022-08-10 12:00:00+00:00,116.68735249999999,6.96047,100.98752,8.739361666666666,0.0,87.77697,0.0,89.74233,-1.96536,0.0,1531.0983333333334,19319.92583333333,8915.210000000001,0.0,400.24,0.0,466.09,0.0,903.81,13.9,8.9,9.9,0.0,-777.7,0.0,78.9,73.9,74.9,-28.910382499999983,0,0,12,0.0,866.3299999999999,866.3299999999999,37.48000000000002,-91.82999999999993,1482.5966666666666,18267.395833333332,8569.063333333334
2022-08-10 13:00:00+00:00,99.02279499999999,6.739190833333333,84.90178333333334,7.381821666666666,0.0,101.46837,0.0,103.4758,-2.00743,0.0,2415.0558333333333,20426.500833333335,8875.595,0.0,522.56,2.03,460.33,0.04,1423.98,15.2,9.0,10.1,0.0,-777.7,0.0,80.2,74.0,75.1,2.445575000000005,0,0,13,2.07,982.8899999999999,984.9599999999999,439.0200000000001,332.80999999999995,2740.5166666666664,20057.536666666667,7846.191666666667
