INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-08-22T09:50:00-00:00,2022-08-22T09:55:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.53912,11,1
2022-08-22T09:55:00-00:00,2022-08-22T10:00:00-00:00,2022-08-22,03,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.55011,12,1
2022-08-22T10:00:00-00:00,2022-08-22T10:05:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.25038,1,1
2022-08-22T10:05:00-00:00,2022-08-22T10:10:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.52194,2,1
2022-08-22T10:10:00-00:00,2022-08-22T10:15:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.4319,3,1
2022-08-22T10:15:00-00:00,2022-08-22T10:20:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.44076,4,1
2022-08-22T10:20:00-00:00,2022-08-22T10:25:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.43545,5,1
2022-08-22T10:25:00-00:00,2022-08-22T10:30:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.45439,6,1
2022-08-22T10:30:00-00:00,2022-08-22T10:35:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.649,7,1
2022-08-22T10:35:00-00:00,2022-08-22T10:40:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.30588,8,1
2022-08-22T10:40:00-00:00,2022-08-22T10:45:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.97772,9,1
2022-08-22T10:45:00-00:00,2022-08-22T10:50:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-2.28565,10,1
2022-08-22T10:50:00-00:00,2022-08-22T10:55:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.08739,11,1
2022-08-22T10:55:00-00:00,2022-08-22T11:00:00-00:00,2022-08-22,04,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-3.08739,12,1
2022-08-22T11:00:00-00:00,2022-08-22T11:05:00-00:00,2022-08-22,05,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,-1.32791,1,1
